ItemName,ItemName_Japanese,ItemType,Bonus_Stats,Craft_Location,NPC_or_Facility,Materials,Skill_Rank,Contribution_Cost,Unlock_Conditions,Tradable_Bound,Notes,Data_Status,Source_URLs,Added_In_This_Version,Review_Priority
Large Gaff Sail,,Ship part / auxiliary sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Trujillo/Pernambuco/Caracas/Cayenne/Willemstad/Grand Cayman/Busan/Nagasaki/Anping/Hangzhou Sailmaker,Hemp Fabric x30; Processed Lumber x1; Improved Rope x1,Sewing rank 15,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Small Junk Sail,,Ship part / East Asian sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Busan/Nagasaki/Tamsui Shipyard Master,East Asia Shipbuilding Techniques x1; Processed Lumber x1; Rope x1,Sewing rank 12,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Middle Junk Sail,,Ship part / East Asian sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Busan/Nagasaki/Tamsui Shipyard Master,East Asia Shipbuilding Techniques x1; Processed Lumber x1; Rope x1,Sewing rank 14,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Large Junk Sail,,Ship part / East Asian sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Busan/Nagasaki/Tamsui Shipyard Master,East Asia Shipbuilding Techniques x2; Processed Lumber x1; Rope x1,Sewing rank 16,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Painter Rope,,Ship part / rope,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Calicut Shipwright,Metal Work x1; Rope x1; Improved Rope x1,Sewing rank 12,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Anti-skid Rope,,Ship part / rope,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Bahia Shipwright,Hemp Fabric x30; Rope x1; Improved Rope x1,Sewing rank 12,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Tangle Net,,Ship part / special equipment,Ship-part stats need verification; source says used to slow action by entangling rudders or oars,Other city NPC Special Production / Basic Sewing,Alexandria Shipwright,Metal Work x1; Rope x1; Improved Rope x1,Sewing rank 12,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Traverse Rope,,Ship part / special equipment,Ship-part stats need verification; source says attack net modified to board the enemy ship,Other city NPC Special Production / Basic Sewing,Santo Domingo Shipwright,Metal Work x1; Rope x1; Improved Rope x1,Sewing rank 14,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Equipment Layering Tools,,Tool / equipment appearance utility,Use/effect: allows adventurer to wear layered equipment; no +skill bonus,Other city NPC Special Production / Basic Handicrafts,Venice Barmaid,Sewing Set x10; Dyestuff x10,Handicrafts rank 7,No Florence contribution; NPC production,,Not specified publicly,Added to cover non-Florence NPC production/tool/ship parts. Some are not +skill equipment but are special craft outputs.,Recipe confirmed; utility item,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Set of Repair Tools,,Tool / ship utility,Use/effect needs verification; likely repair utility; no +skill bonus,Other city NPC Special Production / Basic Handicrafts,Sofala Shipwright,Carpentry Tools x10; Spare Sail x10; Spare Rudder Wheel x10,Handicrafts rank 8,No Florence contribution; NPC production,,Not specified publicly,Added to cover non-Florence NPC production/tool/ship parts. Some are not +skill equipment but are special craft outputs.,Recipe confirmed; bonus/stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Assault Cabin,,Ship part / special cabin,Ship-part stats need verification,Other city NPC Special Production / Basic Handicrafts,Pohang/Sakai/Tamsui/Macau Shipwright,East Asia Shipbuilding Techniques x2; Special Ship Hold x1; Processed Lumber x1,Handicrafts rank 12,No Florence contribution; NPC production,,Not specified publicly,Added to cover non-Florence NPC production/tool/ship parts. Some are not +skill equipment but are special craft outputs.,Recipe confirmed; bonus/stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Admiral's Cabin,,Ship part / special cabin,Ship-part stats need verification,Other city NPC Special Production / Basic Handicrafts,Aden Shipwright,Materials need verification from full source page,Handicrafts rank not fully extracted,No Florence contribution; NPC production,,Not specified publicly,Added to cover non-Florence NPC production/tool/ship parts. Some are not +skill equipment but are special craft outputs.,Recipe confirmed; bonus/stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
"Flat Deck, Medium Hull",,Ship part / hull,Ship-part stats need verification,Other city NPC Special Production / Basic Handicrafts,Ragusa Shipyard Master,Processed Lumber x1; Metal Work x1,Handicrafts rank 4; Shipbuilding rank 9,No Florence contribution; NPC production,,Not specified publicly,Added to cover non-Florence NPC production/tool/ship parts. Some are not +skill equipment but are special craft outputs.,Recipe confirmed; bonus/stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
"Two Deck, Medium Hull",,Ship part / hull,Ship-part stats need verification,Other city NPC Special Production / Basic Handicrafts,Ragusa Shipyard Master,Processed Lumber x1; Metal Work x1,Handicrafts rank 4; Shipbuilding rank 10,No Florence contribution; NPC production,,Not specified publicly,Added to cover non-Florence NPC production/tool/ship parts. Some are not +skill equipment but are special craft outputs.,Recipe confirmed; bonus/stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Commander's Medium 2-decked Hull,,Ship part / hull,Ship-part stats need verification,Other city NPC Special Production / Basic Handicrafts,Buenos Aires/Caracas/Cayenne/Diu/Grand Cayman/Mozambique/Pernambuco/Pondicherry/Trujillo/Willemstad Shipwright,Famous Admiral's Staff x1; Steel x3; Medium 2-decked Hull x1,Handicrafts rank 12; Shipbuilding rank 10,No Florence contribution; NPC production,,Not specified publicly,Added to cover non-Florence NPC production/tool/ship parts. Some are not +skill equipment but are special craft outputs.,Recipe confirmed; bonus/stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Commander's Medium Row Boat,,Ship part / hull,Ship-part stats need verification,Other city NPC Special Production / Basic Handicrafts,Buenos Aires/Caracas/Cayenne/Diu/Grand Cayman/Mozambique/Pernambuco/Pondicherry/Trujillo/Willemstad Shipwright,Famous Admiral's Staff x1; Steel x3; Medium Row Boat x1,Handicrafts rank 12; Shipbuilding rank 10,No Florence contribution; NPC production,,Not specified publicly,Added to cover non-Florence NPC production/tool/ship parts. Some are not +skill equipment but are special craft outputs.,Recipe confirmed; bonus/stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Official Large Row Boat,,Ship part / hull,Ship-part stats need verification,Other city NPC Special Production / Basic Handicrafts,Buenos Aires/Caracas/Cayenne/Diu/Grand Cayman/Mozambique/Pernambuco/Pondicherry/Trujillo/Willemstad Shipwright,Heavily Armoured Sterncastle x1; Steel x4; Large Row Boat x1,Handicrafts rank 13; Shipbuilding rank 14,No Florence contribution; NPC production,,Not specified publicly,Added to cover non-Florence NPC production/tool/ship parts. Some are not +skill equipment but are special craft outputs.,Recipe confirmed; bonus/stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Official Large 2-decked Hull,,Ship part / hull,Ship-part stats need verification,Other city NPC Special Production / Basic Handicrafts,Buenos Aires/Caracas/Cayenne/Diu/Grand Cayman/Mozambique/Pernambuco/Pondicherry/Trujillo/Willemstad Shipwright,Heavily Armoured Sterncastle x1; Steel x5; Large 2-decked Hull x1,Handicrafts rank 14; Shipbuilding rank 15,No Florence contribution; NPC production,,Not specified publicly,Added to cover non-Florence NPC production/tool/ship parts. Some are not +skill equipment but are special craft outputs.,Recipe confirmed; bonus/stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
